tweet_id,safe_text,label,agreement
G23VWSBO,"FACT: Diarrheal diseases kill more children than #AIDS, #malaria &amp; measles combined: <url> #ChooseToInvest <user>",-1.0,0.3333333333333333
PAGKFTAF,"""hi, I'm the idiot parent who didn't vaccinate my kid because I think it causes autism..."" 

I may be paraphrasing.",-1.0,0.3333333333333333
IE4H5MCB,<user> we should send them all our <user> funds and maybe god'll give us a million $ to vaccinate children.,1.0,1.0
M402H39C,Measles in the 'ham.  #TraderJoesHippies Protect the herd! <url>,1.0,0.6666666666666666
TU913J4C,"Vaccines don't cause autism, #2048 does.",1.0,1.0
R5S8515G,"<url>
My one family with measles reconsiders their anti vax position.",1.0,1.0
FH3HVKRB,Measles outbreak centered at Disneyland may be declared over Friday: The measles outbreak that started in… <url>,0.0,1.0
CB2MBLB7,<user> <user> A vaccine for tick-borne encephalitis is given to infants at 13 months of age in Austria. Symbiosis with deer?🌍,-1.0,0.3333333333333333
3D2WTNAK,"Technical Advisor Level III: Immunization Technical Advisor, Washington, Global Health Fellows Program <user> #jobs <url>",0.0,1.0
UXQ9W49V,"CA commuters, students warned: You might have measles: (CNN) — Could simply sitting on a train or in a classroom... <url>",0.0,1.0
TQYKIVHC,"<user> Thank you for giving vaccination issue attention it deserves. People need to get kids vaccinated, for their health &amp; others.",1.0,1.0
FY2OB8L4,Pretty cool website about the anti-vaccine movement. Keep this in mind when you start to have kids. <url>,-1.0,0.6666666666666666
5Y2YJJ6H,"<url>
Measles outbreak traced to Disneyland continues to grow..",0.0,1.0
5BDRFHHL,"“<user> On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health.” <user>",0.0,1.0
T3D8FAET,Hot topic--worth the read! My Health-Nut Parents Didn’t Vaccinate Me. This Is What My Childhood Was Like. <url> via <user>,-1.0,0.3333333333333333
D25FARKI,EU drug regulator starts safety review of HPV vaccines: The European Medicines Agency says it has started a review… <url>,0.0,0.6666666666666666
GKH8TCVD,Look at how serious the news is taking the disease. It can be deadly. #vaccinate #vaccineswork,1.0,0.6666666666666666
KYU7L6V5,<user> <user> oh did we know to ask until after 2013?  I didn't .  Because #vaccines were safe.  Right? #Hearus,-1.0,0.6666666666666666
SFQMFCW0,"<user> If there are any weird things ilke bedbugs or measles,there certainly will be a PBB segment.",0.0,1.0
45713W18,"“<user> Why we don't need an Ebola vaccine <url> &lt;Smart post by <user> -- Important concepts here, eg #risk",-1.0,0.6666666666666666
USV2FIGY,"Today on #Blogust <user> writes, ""Childhood vaccines shouldn’t be a luxury."" Help give all kids a <user>",1.0,0.6666666666666666
8X6PE5KP,#MajorHeadsUp!!! Person contagious with measles visited several Portland locations <url>,0.0,1.0
N8D2Q03A,The people who walk around the gym's equipment room barefoot are probably the same people who don't vaccinate their babies.,1.0,0.6666666666666666
QIUT7ANR,<user> I don't think you have any idea what professionalism is. STOP using autism as a scare tactic <user> <user>,1.0,1.0
AL40FCZO,<user> please stop pushing this bs flu vaccine for the pharmaceutical industry-we don't want it because it doesn't work,-1.0,1.0
1JYXTZIE,<user> double the chances for measles,0.0,0.6666666666666666
Q884184O,<user> Great story.  Measles vaccine attacks cancer in landmark study <url> via <user> ——by <user> Browser,1.0,0.6666666666666666
997L3YNX,I know what vaccinations are for. I was responding to a tweet about children being sick adults without vaccines <user> <user>,1.0,0.6666666666666666
II28SGKT,<user> STOP blaming #Immigrants first #Ebola now #measles Which diseases?brought their ancestors? #AINF #racism <url>,-1.0,0.3333333333333333
RM9KRRRX,Negativity is like a disease; it's highly contagious and can quickly infect others. Immunize yourself with a smile.,0.0,0.6666666666666666
7E3ZD3VO,"<user> thank you for writing this! Hubby had measles as a kid, goes for spinal tap Monday to see if he has MS. Didn't know abt this.",0.0,1.0
7EMDTGQG,<user> Ellen ur a bitch. How could u promote the #flushot vaccination on ur show when u dam well that they are unsafe and don't work,-1.0,1.0
OUE3FO6M,I don't get why people don't get their kids fucking vaccinated,1.0,1.0
JAVB3NEQ,"RT <user> Lies about vaccinations kill people. If you treat anti-vaccination people as credible, you are helping kill people.",1.0,1.0
OEZATTK6,"""<user> CDC considering recommending HPV vaccinations for boys <url> #duh",0.0,0.6666666666666666
OJTO4JQU,Another Study Finds No Link Between MMR Vaccine and Autism <url>,1.0,1.0
MRIKTSQS,<user> A popular one is to cite the profits made on vaccinations. Or correlations to autism based on the CDC vaccination schedule.,-1.0,0.6666666666666666
MXJ1W95Q,"#makeamovieheathy <user> 
Vaccinate it for measles",1.0,1.0
RAGQ4PY0,<user> “<user> Vaccinate your fucking kids. <url> <url>,1.0,1.0
MSCS67FY,First it was the Enterovirus from Latin America. Now the measles from overseas. Overseas? How about south of the border.,0.0,1.0
8SX94HPN,"Drive-thru Vaccinations, are you kidding me?",-1.0,0.3333333333333333
WZZ5DOPD,".<user> .<user> .<user> Thousands of people have been compensated for vaccine injury including death &amp; yes, autism. Too many.",-1.0,1.0
9J42M1FD,AM-News : HIV vaccine elicits anti-V1V2 IgG antibody response in infants: Two investigational HIV vaccines... <url>,0.0,1.0
TYB0OKSM,"""<user> <user> #Life #SAFE #Admitted 98 Mil #US Received #Polio #Vaccine In 8-Yr Span  Contaminated With #Cancer #Virus <user>",-1.0,0.6666666666666666
0TFG741E,This bitch just told Donald Trump vaccines gave her (multiple) kids autism. EYE ROLL.,1.0,0.6666666666666666
OR5UEQCX,"""<user> #Measles Vaccination Campaigns Boost Coverage, Save Lives <url> <url>",1.0,1.0
XC39VTUU,Calif. Measles Outbreak Revives Debate Over Vaccines <url>,0.0,1.0
21JFVNS8,<user> Flip flop much? Don't make parents VAX  kids but #ebolanurse must be q'tined? Way bigger risk for measles spread than Ebola.,1.0,0.6666666666666666
HJFP01NK,"3 PREVENTABLE &amp; TREATABLE: Measles, malaria, &amp; diarrhea are 3 of the biggest killers of children. #AGWMAfrica #medicalmissions #hope4Africa",0.0,0.6666666666666666
41P7Z7YV,<user> Ebola &amp; the zombie apocalypse vaccine?! BAHAHAHAHAHA DEAD!! 😂😂😂😂,0.0,0.6666666666666666
9A8VR9H1,((ELB)) Vaccines Are about profit not health: I promise you the FDA won't heal America. If they could why haven't they done it yet? O...,-1.0,1.0
HM2TSOJQ,"!!!!! RT <user> Hand-washing could save more lives worldwide than any vaccine, according to a study by the World Health Organization.",-1.0,0.6666666666666666
LKMURJOE,<user> <user> thank you for saying so from a mother of a vaccine damaged child. I saw the grave effects.,-1.0,1.0
41URLZBO,“<user> HB's going to give us measles” <user> <user> <user>,0.0,1.0
397KZ8J7,<user> very true! Nothing in life is 100% but science shows #Vaccine pros greatly outweigh rare risks.,1.0,1.0
KCVXIXI7,"The ruts on that MMR ate Frank a time or two. #nebrasksaisnotflat #gravel @ Murdock, Nebraska <url>",0.0,1.0
9KFVM69G,"Sum vaccines like H1N1 n Flu have chemicals in them that no1 would ever want in their body,yet the CDC approves them,Y? Slowly but surely :(",-1.0,1.0
H8EK63V4,"<user> good, I'm referring to you saying that regardless of truth people should believe what they want. Apply that to vaccines.",-1.0,0.6666666666666666
NKI9GIT7,“<user> Original Article: Intussusception Risk after Rotavirus Vaccination in U.S. Infants. <url>,-1.0,0.6666666666666666
ZCZ08I3K,"<user> shld put out a statement ""<user> shameful <user> tells FB followers not to worry about measles. <url>",-1.0,0.3333333333333333
MZAIH5NU,"On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health.",0.0,1.0
V2QCN0HR,"<user> <user> <user> <user> <user> Then they R told they're crazy cuz #vaccines R "" perfectly safe""",-1.0,0.6666666666666666
E2NNCP9J,"Like who the fuck says ""pumped full of mercury and other toxic substances""? it's just a small vaccine, tf",1.0,1.0
2KMLJS05,"<user> as befits a virus with an R factor of 2-3. Now, let's talk about measles... Or the Flu...",0.0,1.0
